The bad promoter intervals were originally defined on the HG18 reference and
then transferred to the HG19 reference using the UCSC liftOver program
(http://genome.ucsc.edu/cgi-bin/hgLiftOver). They have been annotated with the
names of the genes whose transcription start sites (TSS) they overlap. If
multiple TSS assignments are possible, both are listed.

1:10270664-10270864 #KIF1B
1:109584635-109584835 #WDR47
1:11119991-11120191 #SRM
1:113249578-113249778 #RHOC
1:116184474-116184674 #VANGL1
1:1167529-1167729 #B3GALT6
1:1209134-1209334 #UBE2J2
1:12290013-12290213 #VPS13D
1:149814218-149814418 #HIST2H2AA3
1:149822528-149822728 #HIST2H2AA4
1:150521798-150521998 #ADAMTSL4
1:156023416-156023616 #UBQLN4
1:156721443-156721643 #HDGF
1:15736341-15736541 #EFHD2
1:16085155-16085355 #FBLIM1
1:16174259-16174459 #SPEN
1:162039481-162039681 #NOS1AP
1:174128534-174128734 #RABGAP1L
1:17866230-17866430 #ARHGEF10L
1:179198667-179198867 #ABL2
1:184356050-184356250 #C1orf21
1:1950668-1950868 #GABRD
1:19638540-19638740 #AKR7A2
1:19638640-19638840 #PQLC2
1:196788761-196788961 #CFHR1
1:19811892-19812092 #CAPZB
1:19970708-19970908 #NBL1 C1orf151-NBL1
1:20126310-20126510 #TMCO4
1:204654381-204654581 #LRRN2
1:204654497-204654697 #LRRN2
1:21044217-21044417 #KIF17
1:21113081-21113281 #HP1BP3
1:21995699-21995899 #RAP1GAP
1:22263650-22263850 #HSPG2
1:22469419-22469619 #WNT4
1:225615684-225615884 #LBR
1:225840745-225840945 #ENAH
1:22889904-22890104 #EPHA8
1:229761694-229761894 #TAF5L
1:230202928-230203128 #GALNT2
1:23037231-23037431 #EPHB2
1:231175885-231176085 #FAM89A
1:233463414-233463614 #KIAA1804
1:2343910-2344110 #PEX10
1:235813193-235813393 #GNG4
1:236030120-236030320 #LYST
1:236849670-236849870 #ACTN2
1:237205602-237205802 #RYR2
1:23810571-23810771 #ASAP3
1:241803601-241803801 #OPN3
1:242687898-242688098 #PLD5
1:25071748-25071948 #CLIC4
1:26856149-26856349 #RPS6KA1
1:27153101-27153301 #ZDHHC18
1:29562947-29563147 #PTPRU
1:31381380-31381580 #SDC3
1:32801723-32801923 #MARCKSL1
1:33168261-33168461 #SYNC
1:33207412-33207612 #KIAA1522
1:33351998-33352198 #HPCA
1:33430186-33430386 #RNF19B
1:3371047-3371247 #ARHGEF16
1:33722074-33722274 #ZNF362
1:33815399-33815599 #PHC2
1:3569029-3569229 #TP73
1:36273728-36273928 #EIF2C4
1:37940019-37940219 #ZC3H12A
1:38273765-38273965 #YRDC
1:38273869-38274069 #C1orf122
1:39547018-39547218 #MACF1
1:39957218-39957418 #BMP8A
1:41249584-41249784 #KCNQ4
1:42846368-42846568 #RIMKLA
1:45672150-45672350 #ZSWIM5
1:52607946-52608146 #ZFYVE9
1:53098966-53099166 #FAM159A
1:53527785-53527985 #PODN
1:6295944-6296144 #ICMT
1:65432087-65432287 #JAK1
1:6557384-6557584 #PLEKHG5
1:65613413-65613613 #AK4
1:6662829-6663029 #KLHL21
1:6761773-6761973 #DNAJC11
1:8086256-8086456 #ERRFI1
1:85930723-85930923 #DDAH1
1:90098607-90098807 #LRRC8C
1:9189129-9189329 #GPR157
1:9294763-9294963 #H6PD
1:93426979-93427179 #FAM69A
1:9352884-9353084 #SPSB1
1:94374912-94375112 #GCLM
1:95007215-95007415 #F3
1:95392635-95392835 #CNN3
1:9648877-9649077 #TMEM201
1:9648880-9649080 #TMEM201
2:100106380-100106580 #REV1
2:102314388-102314588 #MAP4K4
2:106361254-106361454 #NCK2
2:10861675-10861875 #ATP6V1C2
2:113239643-113239843 #TTL
2:11484611-11484811 #ROCK2
2:145089929-145090129 #GTDC1
2:160143003-160143203 #WDSUB1
2:16846996-16847196 #FAM49A
2:169104005-169104205 #STK39
2:172016860-172017060 #TLK1
2:173292214-173292414 #ITGA6
2:173420679-173420879 #PDK1
2:173600425-173600625 #RAPGEF4
2:176994377-176994577 #HOXD8
2:180129250-180129450 #SESTD1
2:181845012-181845212 #UBE2E3
2:191272981-191273181 #MFSD6
2:192110007-192110207 #MYO1B
2:198669433-198669633 #PLCL1
2:203500111-203500311 #FAM117B
2:204399958-204400158 #RAPH1
2:207308268-207308468 #ADAM23
2:219187818-219188018 #PNKD
2:220435911-220436111 #OBSL1
2:220492192-220492392 #SLC4A3
2:223289222-223289422 #SGPP2
2:223725632-223725832 #ACSL3
2:230135957-230136157 #PID1
2:234263053-234263253 #DGKD
2:235405593-235405793 #ARL4C
2:235860528-235860728 #SH3BP4
2:238600829-238601029 #LRRFIP1
2:239112224-239112424 #ILKAP
2:241497305-241497505 #ANKMY1
2:241508004-241508204 #RNPEPL1
2:25264873-25265073 #EFR3B
2:25896403-25896603 #DTNB
2:26915519-26915719 #KCNK3
2:29338218-29338418 #CLIP4
2:33172292-33172492 #LTBP1
2:37193515-37193715 #STRN
2:39892993-39893193 #TMEM178
2:42721137-42721337 #KCNG3
2:42795571-42795771 #MTA3
2:46769767-46769967 #RHOQ
2:46926249-46926449 #SOCS5
2:47168213-47168413 #TTC7A
2:64246114-64246314 #VPS54
2:64681227-64681427 #LGALSL
2:69614225-69614425 #GFPT1
2:73520573-73520773 #EGR4
2:74374939-74375139 #BOLA3
2:79740026-79740226 #CTNNA2
2:85132663-85132863 #TMSB10
2:85198131-85198331 #KCMF1
2:86564677-86564877 #REEP1
2:9143776-9143976 #MBOAT2
2:9346794-9346994 #ASAP2
2:946455-946655 #SNTG2
2:97481891-97482091 #CNNM3
